Feature,Importance
톨게이트(개수),0.85
통행속도,0.67
차로수,0.65
평균속도,0.50
"IC(분기점,일반국도와 일반국도 간 입체교차로)",0.50
연속주행시간,0.48
곡선반경(합계),0.36
연속주행시간 지수,0.28
버스전용차로유무,0.27
2시간 이상 주행차량 대수,0.24
2시간 이상 주행차량 비율,0.23
터널(길이),0.21
곡선반경(평균),0.20
연속주행시간 상위 1% 평균,0.18
터널(개수),0.15
곡선반경(최대),0.15
제한속도,0.07
휴게소(개수),0.06
Is_After,-0.05
"JC(나들목,일반국도와 고속국도 간 입체교차로)",-0.06
